#VARNUM,VARNAM,VARUNIT,SHORTNAME,DOMAIN,PRECISION,DECIMALS,REPORTFORM,UNITCODE,ACTIVE,ALPHAVAR,CATEGORY1,CATEGORY2,SPARE1,SPARE2,DBVER24,DATECREATE,TIMECREATE,USERCREATE,DATEMOD,TIMEMOD,USERMOD
120,Tide Level (m),metres,Tide Level (m),OTH,0.001,3,LEVEL,M,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
130,Reservoir Water Level (m),metres,Reservoir Water Leve,DAM,0.001,3,LEVEL,M,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
131,Storage water level (m),metres,Storage water level,OTH,0.001,3,LEVEL,M,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
132,Gate Opening (mm),mm,Gate Opening (mm),OTH,1,0,LEVEL,MM,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
133,Reservoir Storage (Ml),megalitres,Reservoir Storage (M,DAM,0.001,3,LEVEL,ML,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
134,Spillway Volume (Ml),megalitres,Spillway Volume (Ml),DAM,0.001,3,TOTAL,ML,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
135,Spillway Discharge (m3/s),cubic metres/second,Spillway Discharge (,DAM,0.001,3,RATE,CUMC,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
136,Reservoir Volume (Ml),megalitres,Reservoir Volume (Ml,DAM,0.001,3,LEVEL,ML,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
137,Reservoir Surface Area (ha),hectares,Reservoir Surface Ar,DAM,0.001,3,LEVEL,HA,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
138,Tube Release (Ml),megalitres,Tube Release (Ml),DAM,0.001,3,TOTAL,ML,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
139,Reservoir Volume (Gl),gigalitres,Reservoir Volume (Gl,DAM,0.001,3,LEVEL,GL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
140,Stream Discharge (m3/s),cubic metres/second,Discharge (m3/sec),SW,0.00001,5,RATE,CUMC,T,,,,,,F,,0,,11/12/2012,1643,BDWORAKO
141,Stream Discharge (Ml/d),megalitres/day,Discharge (Ml/d),SW,0.01,2,RATE,MLD,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
142,Stream Discharge (Ml/d),megalitres/day,Stream Discharge (Ml,SW,0.01,2,LEVEL,MLD,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
143,Stream Discharge (l/s),litres/second,Flow (l/s),SW,0.01,2,RATE,LS,T,,,,,,F,,0,,20/02/2012,1641,BDWORAKO
144,Stream Discharge (l/h),litres/hour,Stream Discharge (l/,OTH,0.01,2,RATE,LH,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
145,Flow Weighted Discharge Yield (m3/s),cubic metres/second,Flow Weighted Discha,SW,0.00001,5,LEVEL,CUMC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
146,Error in discharge (Ml/d),megalitres/day,Error in discharge (,OTH,0.01,2,RATE,MLD,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
147,Inflow Hydrograph (m3/s),cubic metres/second,Inflow Hydrograph (m,OTH,0.00001,5,RATE,CUMC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
148,Outflow Hydrograph (m3/s),cubic metres/second,Outflow Hydrograph (,OTH,0.00001,5,RATE,CUMC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
149,Stream Discharge (cubic ft/s),cubic feet/second,Stream Discharge (cu,OTH,0.00001,5,RATE,CFS,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
150,Stream Discharge Volume (m3),m3,Discharge Vol (m3),SW,0.001,3,TOTAL,M3,F,,,,,,F,,0,,11/12/2012,1645,BDWORAKO
151,Stream Discharge Volume (Ml),megalitres,Discharge Vol (Ml),SW,0.00001,5,TOTAL,ML,T,,,,,,F,,0,,11/12/2012,1645,BDWORAKO
153,Stream Discharge Volume (l),litres,Stream Discharge Vol,SW,0.001,3,TOTAL,L,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
154,Stream Discharge Volume (Gl),gigalitres,Stream Discharge Vol,SW,0.001,3,TOTAL,GL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
155,Discharge Volume (l),litres,Discharge Volume (l),OTH,0.001,3,TOTAL,L,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
156,Stream Discharge Volume (kl),kilolitres,Stream Discharge Vol,OTH,0.001,3,TOTAL,KL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
157,Pump Station Inflow (l/s),litres/second,Pump Station Inflow,OTH,0.00001,5,RATE,LS,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
158,Pump Station Outflow (l/s),litres/second,Pump Station Outflow,OTH,0.00001,5,RATE,LS,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
160,Catchment Runoff Depth (mm),mm,Catchment Runoff Dep,SW,0.1,1,TOTAL,MM,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
161,Catchment Runoff Rate (mm/d),mm/day,Catchment Runoff Rat,SW,0.00001,5,LEVEL,MMD,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
162,Water pressure (kPa),kPa,Water pressure (kPa),OTH,1,0,LEVEL,KP,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
163,Water Pressure (m),metres,Water Pressure (m),OTH,0.01,2,LEVEL,M,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
165,Water Level (m),metres,Water Level (m),OTH,0.001,3,LEVEL,M,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
166,Pipe Velocity (m/s),m/s,Pipe Velocity (m/s),OTH,0.01,2,RATE,MS,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
167,Pipe Discharge (l/s),litres/second,Pipe Discharge (l/s),OTH,0.001,3,RATE,LS,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
170,Sewer Effluent Level (m),metres,Sewer Effluent Level,SEW,0.001,3,LEVEL,M,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
171,Sewer Effluent Level (mm),mm,Sewer Effluent Level,OTH,1,0,LEVEL,MM,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
172,Sewer Velocity (mm/s),mm/sec,Sewer Velocity (mm/s,OTH,1,0,RATE,MMS,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
173,Sewer Discharge calculated (l/s),litres/second,Sewer Discharge calc,OTH,0.001,3,RATE,LS,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
174,Sewer Volume calculated (kl),kilolitres,Sewer Vol. calc.(kl),OTH,0.001,3,TOTAL,KL,T,,,,,,F,,0,,30/03/2012,1044,BDWORAKO
175,Sewer Velocity (m/s),m/s,Sewer Velocity (m/s),SEW,0.001,3,RATE,MS,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
176,Sewer Overflow Duration (h),hours,Sewer Overflow Durat,OTH,0.001,3,TOTAL,HOUR,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
177,Stormwater Level (m),metres,Stormwater Level (m),OTH,0.001,3,LEVEL,M,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
178,Pump Status,,Pump Status,SEW,0.1,1,LEVEL,SCAL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
179,Pumping Time (h),hours,Pumping Time (h),SEW,0.001,3,TOTAL,HOUR,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
180,Sewage Effluent Level (Storm Tanks) (m),metres,Sewage Effluent Leve,SEW,0.001,3,LEVEL,M,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
181,Volume Pumped (m3),m3,Volume Pumped (m3),SEW,0.001,3,TOTAL,M3,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
182,Volume Pumped (Ml),megalitres,Volume Pumped (Ml),SEW,0.001,3,TOTAL,ML,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
183,Pumping Rate (m3/s),cubic metres/second,Pumping Rate (m3/s),SEW,0.001,3,RATE,CUMC,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
184,Pumping Rate (l/sec),litres/second,Pumping Rate (l/sec),SEW,0.001,3,RATE,LS,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
185,Wet Well Level BCC (mAHD),metres,Wet Well Level BCC (,SEW,0.0001,4,LEVEL,M,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
186,Wet Well Volume (m3),m3,Wet Well Volume (m3),SEW,0.00001,5,LEVEL,M3,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
187,Wet Well Inflow (der. from level) (l/s),litres/second,Wet Well Inflow (der,OTH,0.001,3,RATE,LS,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
188,Wet Well Inflow (l/sec),litres/second,Wet Well Inflow (l/s,SEW,0.001,3,RATE,LS,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
189,Change in Wet Well Volume (m3),m3,Change in Wet Well V,SEW,0.00001,5,LEVEL,M3,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
190,Water Consumption (Ml),megalitres,Water Consumption (M,DAM,0.001,3,TOTAL,ML,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
191,Water Consumption (m3),m3,Water Consumption (m,DAM,1,0,TOTAL,M3,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
192,Bulk Supply Flow (Ml),megalitres,Bulk Supply Flow (Ml,DAM,0.001,3,TOTAL,ML,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
193,Bulk Supply Flow (m3),m3,Bulk Supply Flow (m3,DAM,1,0,TOTAL,M3,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
195,Water Consumption (kl),kilolitres,Water Consumption (k,DAM,0.001,3,TOTAL,KL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
199,Inflow/Infiltration Excess Flow (l/s),litres/second,Inflow/Infiltration,SEW,0.00001,5,LEVEL,LS,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
200,Sample time (flag),flag,Sample time (flag),WQ,0.001,3,LEVEL,SCAL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
201,Stream Water Level at sample time (m),metres,Stream Water Level a,WQ,0.001,3,LEVEL,SCAL,T,,,,,,F,,0,,24/02/2012,1019,TMACMANU
202,Sample Time,,,WQ,0.000001,6,LEVEL,SCAL,T,,,,,,F,,0,,24/02/2012,1017,TMACMANU
204,Status Check Flow=1 No Flow=0,1,Status Check,OTH,1,0,LEVEL,SCAL,T,,,,,,F,,0,,27/08/2012,1650,PDOWLAND
210,Acidity/Alkalinity (pH),pH,Field pH,WQ,0.01,2,LEVEL,PH,T,,,,,,F,,0,,02/03/2012,1349,SPETCHEL
215,Dissolved Oxygen (ppm),ppm,DO (ppm),OTH,0.001,3,LEVEL,PPM,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
216,Dissolved Oxygen (%),%,Dissolved Oxygen (%),OTH,0.001,3,LEVEL,PERC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
220,Gauged Stage (m),metres,Gauged Stage (m),SW,0.001,3,LEVEL,M,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
221,Gauged Discharged (Ml/d),megalitres/day,Gauged Discharged (M,SW,0.001,3,RATE,MLD,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
222,Deviation (%),%,Deviation (%),SW,0.001,3,LEVEL,PERC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
223,Rating Table Number,number,Rating Table Number,SW,0.01,2,LEVEL,SCAL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
225,Gauges levelled,scalar,Gauges levelled,SW,0.001,3,LEVEL,SCAL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
230,Sewer Sill Level (m),metres,Sewer Sill Level (m),SW,0.001,3,LEVEL,M,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
231,Drain Sill Level (m),metres,Drain Sill Level (m),OTH,0.001,3,LEVEL,M,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
234,Keller-Winston discharge (l/s),litres/second,Keller-Winston disch,OTH,0.01,2,RATE,LS,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
239,Flow Velocity (cm/s),cm/s,Flow Velocity (cm/s),SW,0.001,3,RATE,CMS,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
240,Flow Velocity (m/s),m/s,Flow Velocity (m/s),SW,0.001,3,RATE,MS,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
241,Flow Velocity (m/s),m/s,Flow Velocity (m/s),OTH,0.001,3,RATE,MS,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
242,Flow Velocity (mm/s),mm/sec,Flow Velocity (mm/s),OTH,0.001,3,RATE,MMS,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
245,Flow Velocity (km/d),km/day,Flow Velocity (km/d),OTH,0.1,1,RATE,KMD,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
250,X-Section Area (m2),m2,X-Section Area (m2),SW,0.00001,5,LEVEL,M2,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
280,Datum shifted Stream Water Level (m),metres,Datum shift WL (m),SW,0.001,3,LEVEL,M,T,,,,,,F,,0,,09/03/2012,1038,SPETCHEL
300,Logger Battery Voltage (volts),volts,Logger Battery (V),INS,0.01,2,LEVEL,VOLT,T,,,,,,F,,0,,27/03/2014,1051,SPETCHEL
305,Milliamps level SCA (mA),mA,Milliamps level SCA,OTH,0.1,1,LEVEL,MA,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
310,Modem Battery Voltage (volts),volts,Modem Battery Voltag,INS,0.01,2,LEVEL,VOLT,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
350,Sampler Initialisation (binary),binary,Sampler Initialisati,INS,0.00001,5,LEVEL,SCAL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
351,Sampler Reset (binary),binary,Sampler Reset (binar,INS,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
352,Sample Count,scalar,Sample Count,OTH,1,0,LEVEL,SCAL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
353,Samples Taken Yes=1 No=0,1,Status Check,OTH,1,0,LEVEL,SCAL,T,,,,,,F,,0,,27/08/2012,1650,PDOWLAND
400,Dry Bulb Temperature (\176C),Degrees celcius,Dry Bulb Temperature,MET,0.1,1,LEVEL,DEGC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
401,Dry Bulb Temperature Hourly Average (\176C,Degrees celcius,Dry Bulb Temperature,OTH,0.1,1,LEVEL,DEGC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
402,Dry Bulb Temperature 10 Minutes Average,Degrees celcius,Dry Bulb Temperature,OTH,0.1,1,LEVEL,DEGC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
403,Max Daily Dry Bulb Temperature (%) (\176C,Degrees celcius,Max Daily Dry Bulb T,OTH,0.1,1,LEVEL,DEGC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
404,Min Daily Dry Bulb Temperature (%) (\176C,Degrees celcius,Min Daily Dry Bulb T,OTH,0.1,1,LEVEL,DEGC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
405,Unknown variable,Unknown,Unknown variable,WQ,0.1,1,LEVEL,SCAL,F,,,,,,F,,0,,01/03/2013,1054,SPETCHEL
410,Wet Bulb Temperature (\176C),Degrees celcius,Wet Bulb Temperature,MET,0.1,1,LEVEL,DEGC,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
415,Unknown variable (\176C),Degrees celcius,Unknown variable (de,OTH,0.1,1,LEVEL,DEGC,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
420,Dew Point (\176C),Degrees celcius,Dew Point (\176C),MET,0.1,1,LEVEL,DEGC,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
430,Relative Humidity (%),%,Rel. Humidity (%),SW,0.1,1,LEVEL,PERC,T,,,,,,F,,0,,31/10/2012,1221,SPETCHEL
431,Hourly Average Humidity (%),%,Hourly Average Humid,MET,0.1,1,LEVEL,PERC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
432,10 Minutes Average Humidity (%),%,10 Minutes Average H,MET,0.1,1,LEVEL,PERC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
433,Max Daily Humidity (%),%,Max Daily Humidity (,OTH,0.1,1,LEVEL,PERC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
434,Min Daily Humidity (%),%,Min Daily Humidity (,OTH,0.1,1,LEVEL,PERC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
440,Soil Temperature (\176C),Degrees celcius,Soil Temperature (de,OTH,0.1,1,LEVEL,DEGC,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
442,Soil Moisture (%),%,Soil Moisture (%),OTH,0.001,3,LEVEL,PERC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
444,Soil Moisture Capilliary Pressure (bar),bar,Soil Moisture Capill,OTH,0.001,3,LEVEL,BAR,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
450,Water Temperature (\176C),Degrees celcius,Temp (\176C),SW,0.1,1,LEVEL,DEGC,T,,,,,,F,,0,,31/10/2012,1221,SPETCHEL
451,Sample Temperature (\176C),Degrees celcius,Sample Temp (\176C),OTH,0.1,1,LEVEL,DEGC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
452,Water Temperature from DO sensor (\176C),Degrees celcius,Water Temperature DO,OTH,0.1,1,LEVEL,DEGC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
454,Water Temperature (no WQ sensor) (\176C),Degrees celcius,Water Temperature (n,OTH,0.1,1,LEVEL,DEGC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
455,Air Temperature Degrees Celcius (\176C),Degrees celcius,Air Temp. (\176C),OTH,0.01,2,LEVEL,DEGC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
460,Maximum Air Temperature (\176C),Degrees celcius,Maximum Air Temperat,MET,0.1,1,LEVEL,DEGC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
470,Minimum Air Temperature (\176C),Degrees celcius,Minimum Air Temperat,MET,0.1,1,LEVEL,DEGC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
471,Average Air Temperature (Hourly/Daily) (,Degrees celcius,Average Air Temperat,OTH,0.1,1,LEVEL,DEGC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
480,Total Cloud Amount (okta),okta,Total Cloud Amount (,OTH,1,0,LEVEL,OKTA,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
485,Dust Mass Concentration PM10,ug/m3,Dust Mass Conc PM10,OTH,0.000001,6,LEVEL,UGM3,T,,,,,,F,30/04/2014,1251,SGARVITC,30/04/2014,1416,SPETCHEL
486,Dust Mass Concentration PM4,ug/m3,Dust Mass Conc PM4,OTH,0.000001,6,LEVEL,UGM3,T,,,,,,F,30/04/2014,1253,SGARVITC,30/04/2014,1416,SPETCHEL
487,Dust Mass Concentration PM2.5,ug/m3,Dust Mass Conc PM2.5,OTH,0.000001,6,LEVEL,UGM3,T,,,,,,F,30/04/2014,1254,SGARVITC,30/04/2014,1416,SPETCHEL
488,Dust Mass Concentration PM1,ug/m3,Dust Mass Conc PM1,OTH,0.000001,6,LEVEL,UGM3,T,,,,,,F,30/04/2014,1255,SGARVITC,30/04/2014,1416,SPETCHEL
489,Dust Mass Concentration TSP,ug/m3,Dust Mass Conc TSP,OTH,0.000001,6,LEVEL,UGM3,T,,,,,,F,30/04/2014,1256,SGARVITC,30/04/2014,1416,SPETCHEL
490,Clarity,,Clarity,SW,0.001,3,LEVEL,SCAL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
491,Visible coal,,Visible coal,SW,0.001,3,LEVEL,SCAL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
492,Dust Scale,,Dust Scale,SW,0.001,3,LEVEL,SCAL,T,,,,,,F,,0,,30/04/2014,1416,SPETCHEL
493,Insects,,Insects,SW,0.001,3,LEVEL,SCAL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
494,Odour,,Odour,SW,0.001,3,LEVEL,SCAL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
495,Dust Mass Concentration PM10,mg/m3,Dust Mass Conc PM10,OTH,0.000001,6,LEVEL,MGM3,T,,,,,,F,20/02/2014,811,SPETCHEL,30/04/2014,1416,SPETCHEL
496,Dust Mass Concentration PM4,mg/m3,Dust Mass Conc PM4,OTH,0.000001,6,LEVEL,MGM3,T,,,,,,F,20/02/2014,811,SPETCHEL,30/04/2014,1416,SPETCHEL
497,Dust Mass Concentration PM2.5,mg/m3,Dust Mass Conc PM2.5,OTH,0.000001,6,LEVEL,MGM3,T,,,,,,F,20/02/2014,811,SPETCHEL,30/04/2014,1416,SPETCHEL
498,Dust Mass Concentration PM1,mg/m3,Dust Mass Conc PM1,OTH,0.000001,6,LEVEL,MGM3,T,,,,,,F,20/02/2014,811,SPETCHEL,30/04/2014,1416,SPETCHEL
499,Dust Mass Concentration TSP,mg/m3,Dust Mass Conc TSP,OTH,0.000001,6,LEVEL,MGM3,T,,,,,,F,20/02/2014,811,SPETCHEL,30/04/2014,1416,SPETCHEL
500,Wind Direction (\176),degrees,Wind Direction (\176),MET,1,0,LEVEL,DEG,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
501,Wind Direction - Maximum (\176),degrees,Wind Direction - Max,OTH,1,0,LEVEL,DEG,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
502,Wind Direction - Minimum (\176),degrees,Wind Direction - Min,OTH,1,0,LEVEL,DEG,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
503,Wind Direction/Current (\176),degrees,Wind Direction/Curre,OTH,1,0,LEVEL,DEG,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
504,Average Vector Wind Direction (\176),degrees,Average Vector Wind,OTH,1,0,LEVEL,DEG,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
505,Wind Direction Standard Deviation (\176),degrees,Wind Dir SD (\176),MET,1,0,LEVEL,DEG,T,,,,,,F,,0,,15/05/2014,1037,SPETCHEL
